FOLIO,EMPRESA,PUESTO,DIA,MES,ANIO,HORA,MIN,ACTP,SECTOR,FUN1,FUN2,FUN3,CAR1,CAR2,CAR3,PERIODICO,INTERNET,EMP,BOLSA,RECOM,EDAD,EDAD2,GENERO,GENERO2,VIAJA,EST,PASAN,LIC,POS,HORAEST,PROM,PROM2,DOMINIO,IT,ILE,IH,FT,FLE,FH,AT,ALE,AH,OTRO,OT,OLE,OH,EXP,EXPA,CARTA,EXAMED,EXAPSI,EXATEC,PREFE,INST1,INST2,INST3,COMU,EQUI,LIDER,CREA,PPER,TRAP,COMP,DEMO,RIES,ECONO,FINAN,IEST,PROBA,IDEO,MER,MODMAT,ST,MENC,PENS,DANIO,SPER,SISD,OTR_1,OTRO1,OTR_2,OTRO2,OFF,PAQUE,PAQ1,PAQ2,LENG,LENG1,LENG2,LENG3,PROG,DISE,RED,MBD,TECEXP,CII,MT,CTO,DEFI_1,DEFI_2,DEFI_3,DEFI_4,CURTEC,CURIDEO,DIPMA,ESTPUES,OBS
1,COMISIÓN NACIONAL BANCARIA Y DE VALORES,INSPECTOR,8,11,18,14,15,SUPERVISIÓN BANCARIA,1,ANÁLISIS FINANCIERO Y OPERATIVO,ASUNTOS DE TRANSPARENCIA,ASPECTOS JURÍDICOS,ACTUARIA,CONTADURIA,ECONOMIA, ,X, , ,X,N,0,N, ,S,X, , , ,S,S,8,S,X,X,X, , , , , , , , , , ,N,0,S,S,S,S,N, , , ,5,5,5,4,5,5,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,2, ,0, ,0,S,N, , ,N, , , ,1,1,1,1,S,S,S,S,DISPOSICIÓN E INICIATIVA,PEREZA,APERTURA PARA APRENDER Y RECONOCER LIMITACIONES, ,S,S,S,S, 
2,BANCO DEL AHORRO NACIONAL Y SERVICIOS FINANCIEROS,SUBJEFE DE ÁREA,9,11,18,13,5,BANCA DE DESARROLLO,1,REGULAMIENTO Y SELECCIÓN DE PERSONAL,INGRESO, ,ADMINISTRACIÓN,ACTUARIA, , , , ,X, ,N, ,N, ,N,X,X,X,X,N,N, ,N, , , , , , , , , , , , , ,S,0,S,S,S,S,N, , , ,4,4,4,4,4,4,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2, , , , ,S,N, , ,N, , , ,2,2,2,2,S,S,S,N, , , , ,S,N,S,S, 
3,MAPFRE,COORDINADOR SUSCRIPCIÓN,9,11,18,11,30,ASEGURADORA MULTIRAMO,2,SUSCRIPCIÓN,TARIFAS, ,ADMINISTRACIÓN,FINANZAS,ECONOMIA, , ,X,X,X,N,0,N, ,N,X,X,X,X,S,N,0,N, , , , , , , , , , , , , ,N,0,N,S,S,S,N, , , ,4,5,3,5,5,5,3,2,2,2,2,3,3,3,2,3,3,2,2,3,2,2, ,0, ,0,S,N, , ,N, , , ,2,2,2,3,S,S,S,N, , , , ,S,N,S,S, 
4,BANSEFI,DIRECTOR DE ORIGINACIÓN DE CRÉDITO,9,11,18,1,20,BANCA DE DESARROLLO,1,ORGANIZACIÓN DE CRÉDITO,ACTUALIZACIÓN NORMATIVA,ANÁLISIS FINANCIERO,CONTADURÍA PÚBLICA,ECONOMIA,ACTUARIA, ,X, ,X,X,N, ,N, ,S, ,X, , ,S,N, ,S,X,X,X, , , , , , , , , , ,N,0,N,S,S,S,N, , , ,5,4,5,5,3,5,3,1,2,2,2,1,1,2,1,2,1,1,1,1,1,1, , , , ,S,N, , ,N, , , ,1,2,1,2,S,S,S,N,REGULACIÓN APLICABLE,ANÁLISIS A EMPRESAS FINANCIERAS (BALANCE), , ,S,N,S,S, 
5,MAPFRE TEPEYAC S.A,COORDINADOR TÉCNICO,9,11,18,3,17,ASEGURADORA MULTIRRAMO,2,RESULTADO DE LA CÍA.,EVOLUCIÓN DE EMISIÓN,PRINCIPALES DESVIACIONES, , , , ,X, ,X,X,N, ,N, ,N, ,X,X,X, ,N, ,N, , , , , , , , , , , , , ,N,0,N,S,S,S,N, , , ,4,5,4,5,4,4,2,2,2,1,2,1,1,1,1,2,2,1,1,2,2,1, , , , ,S,N, , ,N, , , ,1,2,2,2,S,S,S,N, , , , ,S,N,S,S, 
6,BBVA BANCOMER,EXECUTIVE DIRECTOR,7,11,18,0,0,SECTOR FINANCIERO,2,COMPRA Y VENTA DE DERIVADOS,GESTION DEL RIESGO DE MERCADO, ,ACTUARIA,MATEMATICAS,ECONOMIA, ,X,X,X,X,N,0,N, ,N, ,X,X,X, ,N,0, , ,X,X, , , , , , , , , , ,N,0,S,S,S,S,N, , , ,4,5,3,5,5,5,2,1,2,2,3,2,3,1,1,3,2,1,1,1,1,1, ,0, ,0,S,N, , ,S,VISUAL BASIC, , ,2,1,1,1,S,S,S,S,CONOCIMIENTO EN ECONOMIA,HABILIDADES INTRAPERSONALES, , ,S,S,S,S, 
7,PENSIONISSSTE, ,9,11,18,0,0,ADMINISTRACION PARA FONDO DE PENSIONES,1,ANALISIS DE MERCADO,OPERACION EN MERCADO DE VALORES, ,ECONOMIA,ACTUARIA,FINANZAS, ,X, , ,X,N,0,N, ,S,X, ,X, ,S,S,8,S, ,X,X, , , , , , , , , , ,N,0,S,S,S,S,N, , , ,5,5,3,4,5,5,3,2,2,2,3,3,2,2,1,2,3,1,3,1,1,1, ,0, ,0,S,N, , ,N, , , ,1,1,1,3,S,N,S,S,FALTA DE PACIENCIA ANTE DESAROLLO PROFESIONAL,FALTA DE DISPOSICION ANTE CARGA ALTA DE TRABAJO, , ,S,N,S,S, 
8,POLITICA DE MEDIOS PDM,DIRECTOR DE ESTRATEGIA,11,11,18, , ,ASESORIA EN COMUNICACION,2,DIRIGIR E IMPLEMENTAR ESTRATEGIAS DE COMUNICACION, , ,PERIODISMO,CIENCIAS DE LA COMUNICACION, , , , , ,X,N, ,N, ,S,X, ,X,X,S,N, ,S,X,X,X, , , , , , , , , , ,S,0,S,N,N,S,N, , , ,5,5,3,5,5,5,2,1,1,2,1,2,2,2,3,1,1,3,1,1,1,1, , , , ,S,S,WORD,EXCEL,N, , , ,1,1,1,3,S,S,S,S,POCA CAPACIDAD PARA COMUNICACION Y REDACCION, , , ,S,S,S,S, 
10,PENSIONISSTE,NR,8,11,18,14,0,ADMINISTRACIÓN DE FONDOS PARA EL RETIRO,1,ANÁLISIS DE MERCADO,OPERACIONES EN MERCADOS DE VALORES, ,ACTUARIA,ECONOMIA,FINANZAS, ,X, , ,X,N,0,N, ,S,X, ,X, ,S,S,8,S, ,X,X, , , , , , , , , , ,N,0,S,S,S,S,N, , , ,5,5,3,4,5,5,3,2,2,2,3,3,2,2,1,2,3,1,3,1,1,1, ,0, ,0,S,N, , ,N, , , ,1,1,1,3,S,N,S,S,FALTA DE APLICACIÓN DE LO ESTUDIADO EN EL TRABAJO,FALTA DE DISPOSICIÓN ANTE CARGA ALTA DE TRABAJO,FALTA DE PACIENCIA ANTE DESARROLLO PROFESIONAL, ,S,N,S,S, 
11,COMISIÓN NACIONAL BANCARIA Y DE VALORES,SUBDIRECTOR DE ÁREA,8,11,18,14,30,SUPERVISIÓN DE ENTIDADES FINANCIERAS,1,ANÁLISIS DE INFORMACIÓN FINANCIERA,INSPECCIÓN (AUDITORÍA FINANCIERA),ELABORACIÓN DE OFICIOS Y MEMORANDA,CONTADURÍA (L.C.P),ECONOMIA,ACTUARIA,X,X, ,X,X,N,0,N, ,S, , ,X, ,N,N,0,N, , , , , , , , , , , , , ,N,0,S,S,S,S,N, , , ,3,5,3,4,4,5,0,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1, ,0, ,0,S,N, , ,N, , , ,1,1,1,2,S,S,S,S,FALTA DE CONOCIMIENTOS DEL SEGUIMIENTO FINANCIERO,FALTA DE CONOCIMIENTOS DE LOS REGULADORES FINANCIEROS, , ,S,S,S,S, 
