MES,DATOS
Ene-1749,58
Feb-1749,62.6
Mar-1749,70
Abr-1749,55.7
May-1749,85
Jun-1749,83.5
Jul-1749,94.8
Ago-1749,66.3
Sep-1749,75.9
Oct-1749,75.5
Nov-1749,158.6
Dic-1749,85.2
Ene-1750,73.3
Feb-1750,75.9
Mar-1750,89.2
Abr-1750,88.3
May-1750,90
Jun-1750,100
Jul-1750,85.4
Ago-1750,103
Sep-1750,91.2
Oct-1750,65.7
Nov-1750,63.3
Dic-1750,75.4
Ene-1751,70
Feb-1751,43.5
Mar-1751,45.3
Abr-1751,56.4
May-1751,60.7
Jun-1751,50.7
Jul-1751,66.3
Ago-1751,59.8
Sep-1751,23.5
Oct-1751,23.2
Nov-1751,28.5
Dic-1751,44
Ene-1752,35
Feb-1752,50
Mar-1752,71
Abr-1752,59.3
May-1752,59.7
Jun-1752,39.6
Jul-1752,78.4
Ago-1752,29.3
Sep-1752,27.1
Oct-1752,46.6
Nov-1752,37.6
Dic-1752,40
Ene-1753,44
Feb-1753,32
Mar-1753,45.7
Abr-1753,38
May-1753,36
Jun-1753,31.7
Jul-1753,22
Ago-1753,39
Sep-1753,28
Oct-1753,25
Nov-1753,20
Dic-1753,6.7
Ene-1754,0
Feb-1754,3
Mar-1754,1.7
Abr-1754,13.7
May-1754,20.7
Jun-1754,26.7
Jul-1754,18.8
Ago-1754,12.3
Sep-1754,8.2
Oct-1754,24.1
Nov-1754,13.2
Dic-1754,4.2
Ene-1755,10.2
Feb-1755,11.2
Mar-1755,6.8
Abr-1755,6.5
May-1755,0
Jun-1755,0
Jul-1755,8.6
Ago-1755,3.2
Sep-1755,17.8
Oct-1755,23.7
Nov-1755,6.8
Dic-1755,20
Ene-1756,12.5
Feb-1756,7.1
Mar-1756,5.4
Abr-1756,9.4
May-1756,12.5
Jun-1756,12.9
Jul-1756,3.6
Ago-1756,6.4
Sep-1756,11.8
Oct-1756,14.3
Nov-1756,17
Dic-1756,9.4
Ene-1757,14.1
Feb-1757,21.2
Mar-1757,26.2
Abr-1757,30
May-1757,38.1
Jun-1757,12.8
Jul-1757,25
Ago-1757,51.3
Sep-1757,39.7
Oct-1757,32.5
Nov-1757,64.7
Dic-1757,33.5
Ene-1758,37.6
Feb-1758,52
Mar-1758,49
Abr-1758,72.3
May-1758,46.4
Jun-1758,45
Jul-1758,44
Ago-1758,38.7
Sep-1758,62.5
Oct-1758,37.7
Nov-1758,43
Dic-1758,43
Ene-1759,48.3
Feb-1759,44
Mar-1759,46.8
Abr-1759,47
May-1759,49
Jun-1759,50
Jul-1759,51
Ago-1759,71.3
Sep-1759,77.2
Oct-1759,59.7
Nov-1759,46.3
Dic-1759,57
Ene-1760,67.3
Feb-1760,59.5
Mar-1760,74.7
Abr-1760,58.3
May-1760,72
Jun-1760,48.3
Jul-1760,66
Ago-1760,75.6
Sep-1760,61.3
Oct-1760,50.6
Nov-1760,59.7
Dic-1760,61
Ene-1761,70
Feb-1761,91
Mar-1761,80.7
Abr-1761,71.7
May-1761,107.2
Jun-1761,99.3
Jul-1761,94.1
Ago-1761,91.1
Sep-1761,100.7
Oct-1761,88.7
Nov-1761,89.7
Dic-1761,46
Ene-1762,43.8
Feb-1762,72.8
Mar-1762,45.7
Abr-1762,60.2
May-1762,39.9
Jun-1762,77.1
Jul-1762,33.8
Ago-1762,67.7
Sep-1762,68.5
Oct-1762,69.3
Nov-1762,77.8
Dic-1762,77.2
Ene-1763,56.5
Feb-1763,31.9
Mar-1763,34.2
Abr-1763,32.9
May-1763,32.7
Jun-1763,35.8
Jul-1763,54.2
Ago-1763,26.5
Sep-1763,68.1
Oct-1763,46.3
Nov-1763,60.9
Dic-1763,61.4
Ene-1764,59.7
Feb-1764,59.7
Mar-1764,40.2
Abr-1764,34.4
May-1764,44.3
Jun-1764,30
Jul-1764,30
Ago-1764,30
Sep-1764,28.2
Oct-1764,28
Nov-1764,26
Dic-1764,25.7
Ene-1765,24
Feb-1765,26
Mar-1765,25
Abr-1765,22
May-1765,20.2
Jun-1765,20
Jul-1765,27
Ago-1765,29.7
Sep-1765,16
Oct-1765,14
Nov-1765,14
Dic-1765,13
Ene-1766,12
Feb-1766,11
Mar-1766,36.6
Abr-1766,6
May-1766,26.8
Jun-1766,3
Jul-1766,3.3
Ago-1766,4
Sep-1766,4.3
Oct-1766,5
Nov-1766,5.7
Dic-1766,19.2
Ene-1767,27.4
Feb-1767,30
Mar-1767,43
Abr-1767,32.9
May-1767,29.8
Jun-1767,33.3
Jul-1767,21.9
Ago-1767,40.8
Sep-1767,42.7
Oct-1767,44.1
Nov-1767,54.7
Dic-1767,53.3
Ene-1768,53.5
Feb-1768,66.1
Mar-1768,46.3
Abr-1768,42.7
May-1768,77.7
Jun-1768,77.4
Jul-1768,52.6
Ago-1768,66.8
Sep-1768,74.8
Oct-1768,77.8
Nov-1768,90.6
Dic-1768,111.8
Ene-1769,73.9
Feb-1769,64.2
Mar-1769,64.3
Abr-1769,96.7
May-1769,73.6
Jun-1769,94.4
Jul-1769,118.6
Ago-1769,120.3
Sep-1769,148.8
Oct-1769,158.2
Nov-1769,148.1
Dic-1769,112
Ene-1770,104
Feb-1770,142.5
Mar-1770,80.1
Abr-1770,51
May-1770,70.1
Jun-1770,83.3
Jul-1770,109.8
Ago-1770,126.3
Sep-1770,104.4
Oct-1770,103.6
Nov-1770,132.2
Dic-1770,102.3
Ene-1771,36
Feb-1771,46.2
Mar-1771,46.7
Abr-1771,64.9
May-1771,152.7
Jun-1771,119.5
Jul-1771,67.7
Ago-1771,58.5
Sep-1771,101.4
Oct-1771,90
Nov-1771,99.7
Dic-1771,95.7
Ene-1772,100.9
Feb-1772,90.8
Mar-1772,31.1
Abr-1772,92.2
May-1772,38
Jun-1772,57
Jul-1772,77.3
Ago-1772,56.2
Sep-1772,50.5
Oct-1772,78.6
Nov-1772,61.3
Dic-1772,64
Ene-1773,54.6
Feb-1773,29
Mar-1773,51.2
Abr-1773,32.9
May-1773,41.1
Jun-1773,28.4
Jul-1773,27.7
Ago-1773,12.7
Sep-1773,29.3
Oct-1773,26.3
Nov-1773,40.9
Dic-1773,43.2
Ene-1774,46.8
Feb-1774,65.4
Mar-1774,55.7
Abr-1774,43.8
May-1774,51.3
Jun-1774,28.5
Jul-1774,17.5
Ago-1774,6.6
Sep-1774,7.9
Oct-1774,14
Nov-1774,17.7
Dic-1774,12.2
Ene-1775,4.4
Feb-1775,0
Mar-1775,11.6
Abr-1775,11.2
May-1775,3.9
Jun-1775,12.3
Jul-1775,1
Ago-1775,7.9
Sep-1775,3.2
Oct-1775,5.6
Nov-1775,15.1
Dic-1775,7.9
Ene-1776,21.7
Feb-1776,11.6
Mar-1776,6.3
Abr-1776,21.8
May-1776,11.2
Jun-1776,19
Jul-1776,1
Ago-1776,24.2
Sep-1776,16
Oct-1776,30
Nov-1776,35
Dic-1776,40
Ene-1777,45
Feb-1777,36.5
Mar-1777,39
Abr-1777,95.5
May-1777,80.3
Jun-1777,80.7
Jul-1777,95
Ago-1777,112
Sep-1777,116.2
Oct-1777,106.5
Nov-1777,146
Dic-1777,157.3
Ene-1778,177.3
Feb-1778,109.3
Mar-1778,134
Abr-1778,145
May-1778,238.9
Jun-1778,171.6
Jul-1778,153
Ago-1778,140
Sep-1778,171.7
Oct-1778,156.3
Nov-1778,150.3
