,CIERRE,
2010.004,32758.5,
2010.008,32732.8,
2010.012,32830.2,
2010.016,33064.6,
2010.02,32892,
2010.024,32935.4,
2010.028,32792.7,
2010.032,32836.1,
2010.036,32729.6,
2010.04,32262.3,
2010.044,32482.7,
2010.048,32473.1,
2010.052,32025.3,
2010.056,31205.3,
2010.06,30830.9,
2010.064,30465.1,
2010.068,30651.6,
2010.072,30610.8,
2010.076,30811.3,
2010.08,30391.6,
2010.084,30876.7,
2010.088,31287,
2010.092,30603.7,
2010.096,30630.7,
2010.1,30649.4,
2010.104,30818.5,
2010.108,30746.1,
2010.112,30845.6,
2010.116,31005.7,
2010.12,31038.3,
2010.124,31644.8,
2010.128,31892.1,
2010.132,32170.8,
2010.136,32172.1,
2010.14,32034.3,
2010.144,31850.2,
2010.148,31788.5,
2010.152,31649.1,
2010.156,31634.5,
2010.16,31765.1,
2010.164,32055,
2010.168,32353.5,
2010.172,32202,
2010.176,32436.5,
2010.18,32520.3,
2010.184,32514.2,
2010.188,32505.8,
2010.192,32602.9,
2010.196,32578.1,
2010.2,32723.9,
2010.204,32798.3,
2010.208,32969.8,
2010.212,33022.8,
2010.216,33142,
2010.22,33361.3,
2010.224,33161,
2010.228,33164.3,
2010.232,33147.8,
2010.236,33416.1,
2010.24,33399.5,
2010.244,33266.4,
2010.248,33648.9,
2010.252,33801.2,
2010.256,33632.4,
2010.26,33567.4,
2010.264,33840.9,
2010.268,33852.4,
2010.272,33819,
2010.276,34113.9,
2010.28,34134.2,
2010.284,33621.4,
2010.288,33439.8,
2010.292,33813.2,
2010.296,33517.2,
2010.3,33658.4,
2010.304,33853.7,
2010.308,33771.6,
2010.312,32679.4,
2010.316,32952.9,
2010.32,32861,
2010.324,32687.3,
2010.328,32832.4,
2010.332,32120.7,
2010.336,31995.3,
2010.34,31399,
2010.344,31488.8,
2010.348,32276.9,
2010.352,32119.1,
2010.356,32379.6,
2010.36,32342.4,
2010.364,31812.7,
2010.368,31580.6,
2010.372,31136.3,
2010.376,30992.8,
2010.38,30368.1,
2010.384,30629.2,
2010.388,30759.5,
2010.392,30634.2,
2010.396,31328.5,
2010.4,32056.2,
2010.404,31547.6,
2010.408,32038.5,
2010.412,31245.8,
2010.416,31411.9,
2010.42,31331.9,
2010.424,30992.7,
2010.428,30739,
2010.432,31059.8,
2010.436,31209.3,
2010.44,31910.2,
2010.444,32124.3,
2010.448,32238.4,
2010.452,32685.4,
2010.456,32805.6,
2010.46,32775.3,
2010.464,32814.6,
2010.468,32882,
2010.472,32470.7,
2010.476,32663.3,
2010.48,32312.8,
2010.484,32607.1,
2010.488,32568.2,
2010.492,31473.2,
2010.496,31157,
2010.5,31197,
2010.504,31379.7,
2010.508,31391.4,
2010.512,31533.6,
2010.516,32035.2,
2010.52,31960.6,
2010.524,32004.3,
2010.528,31870.6,
2010.532,32185.2,
2010.536,32305.7,
2010.54,32381.1,
2010.544,31783.4,
2010.548,31845.9,
2010.552,32024.3,
2010.556,32109,
2010.56,32720.8,
2010.564,32806,
2010.568,32958.9,
2010.572,32695.3,
2010.576,32665.6,
2010.58,32463.7,
2010.584,32308.7,
2010.588,32816.5,
2010.592,32768.1,
2010.596,32900.5,
2010.6,32907.2,
2010.604,32917.9,
2010.608,32837.6,
2010.612,32685.5,
2010.616,32058.6,
2010.62,32041.1,
2010.624,32099.8,
2010.628,32119.9,
2010.632,32286.1,
2010.636,32408.3,
2010.64,32153.6,
2010.644,32291.7,
2010.648,32142.7,
2010.652,31364.9,
2010.656,31453.7,
2010.66,31218,
2010.664,31755.3,
2010.668,31382.7,
2010.672,31679.8,
2010.676,32339.2,
2010.68,32417.3,
2010.684,32592.9,
2010.688,32746.7,
2010.692,32448.4,
2010.696,32409.6,
2010.7,32519,
2010.704,32626.9,
2010.708,32921.6,
2010.712,33058,
2010.716,33046.7,
2010.72,33273.5,
2010.724,33296.7,
2010.728,33207.2,
2010.732,33091.1,
2010.736,33280.8,
2010.74,33122.4,
2010.744,33258.5,
2010.748,33186.8,
2010.752,33330.3,
2010.756,33807.5,
2010.76,34040.2,
2010.764,34257.4,
2010.768,34370.6,
2010.772,34257.8,
2010.776,34464.8,
2010.78,34465.4,
2010.784,34437.4,
2010.788,34798.6,
2010.792,34836.5,
2010.796,34741.5,
2010.8,34919.3,
2010.804,34452.2,
2010.808,34880.5,
2010.812,34965.3,
2010.816,35120.9,
2010.82,35262.9,
2010.824,35373.4,
2010.828,35262.9,
2010.832,35376.7,
2010.836,35568.2,
2010.84,35722.7,
2010.844,35843.8,
2010.848,36198.6,
2010.852,36317.5,
2010.856,36543.4,
2010.86,36198,
2010.864,36417.5,
2010.868,36304.5,
2010.872,36057.4,
2010.876,35648.2,
2010.88,35842.5,
2010.884,36322.1,
2010.888,36601.4,
2010.892,36710.5,
2010.896,36271.8,
2010.9,37079.3,
2010.904,36969.2,
2010.908,36904.5,
2010.912,36890.6,
2010.916,36817.3,
2010.92,37277.6,
2010.924,37399.5,
2010.928,37385.9,
2010.932,37737.1,
2010.936,37880.1,
2010.94,37617.8,
2010.944,37567.4,
2010.948,37677.8,
2010.952,37894.3,
2010.956,37901,
2010.96,37676.6,
2010.964,37832.9,
2010.968,37997.3,
2010.972,37975.5,
2010.976,38230.9,
2010.98,38172.9,
2010.984,38131.5,
2010.988,38081.1,
2010.992,38132.9,
2010.996,38147.5,
2011,38230.2,
2011.004,38243.1,
2011.008,38550.8,
2011.012,38605.8,
2011.016,38542.2,
2011.02,38696.2,
2011.024,38589.7,
2011.028,38600.9,
2011.032,38378.2,
2011.036,38028.8,
2011.04,37963.3,
2011.044,38070.2,
2011.048,37994.7,
2011.052,38096.9,
2011.056,38151.3,
2011.06,37810.2,
2011.064,37584.7,
2011.068,37321.1,
2011.072,37667.9,
2011.076,37470.8,
2011.08,37585.4,
2011.084,37447.7,
2011.088,36839.7,
2011.092,36982.2,
